,RespondentID,SiteID,StartDate,EndDate,1) Do more volunteer work,2) See friends more often/make new friends,3) Take better care of my health,4) Eat meals that are better for me,5) Have more energy,6) Feel happier or more satisfied with my life,7) Have something to look forward to each day,8) Know where to ask if I need a serv,9) Feel more able to stay independent,10) Feel that the senior center has,11) Learn new things,12) Have learned about services and benefits,13) Am more physically active,14) Would recommend the s,15) Please tell us how part,16) I participate in the followin,17a) American Indian or Alaska Native,"17b) Asian, Asian-American","17c) Black, African-American, Other African",17d) Hawaiian Native or Pacific Islander,"17e) Hispanic, Latino",17f) White or Caucasian,17g) Other,18) Zip Code,19) Annual Income
1,WS001,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Made lifelong friends, learn new things","ukes, special events like workships, fairs, dances",0,1,0,0,0,0,0,98126,Moderate
2,WS003,West Seattle,01/01/2018,03/31/2018,Almost Never,Sometimes,Sometimes,Not Applicable,Sometimes,Sometimes,Most of the time,Almost Never,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Encourages music in my life,Ukulele Monday,0,0,0,0,0,1,0,98136,Above Moderate
3,WS004,West Seattle,01/01/2018,03/31/2018,,Most of the time,,,,Most of the time,Most of the time,,,Most of the time,Most of the time,Most of the time,,Most of the time,I love playing with the ukes!,ukulele play along,0,0,0,0,0,1,0,98166,Unknown
4,WS005,West Seattle,01/01/2018,03/31/2018,Not Applicable,Sometimes,Sometimes,Not Applicable,Sometimes,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Most of the time,I learned how to play ukulele with others and have a fun time,"ukulele group ""The ukes""",0,0,0,0,0,1,0,98198,Low
5,WS006,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Made friends,"ukulele, bingo, dinner",0,0,0,0,0,1,0,98136,Above Moderate
6,WS007,West Seattle,01/01/2018,03/31/2018,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,I look forward to the days I teach a German class advanced and beginners,"EnhanceFitness, book club, teach German",0,0,0,0,0,1,0,98136,Low
7,WS008,West Seattle,01/01/2018,03/31/2018,Not Applicable,Most of the time,Not Applicable,Not Applicable,Not Applicable,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,,,0,0,0,0,0,1,0,98116,Unknown
8,WS009,West Seattle,01/01/2018,03/31/2018,,Sometimes,,,Most of the time,Most of the time,Sometimes,Not Applicable,,Most of the time,Most of the time,,,Most of the time,,"ukulele, dance class, library",0,0,0,0,0,1,0,98146,Very Low
9,WS010,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Great Friends,cribbage,1,0,0,0,0,0,0,98136,Above Moderate
10,WS011,West Seattle,01/01/2018,03/31/2018,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,Sometimes,Sometimes,Not Applicable,Most of the time,Fun and Friends,"Cribbage, fundraisers",0,0,0,0,0,1,0,98116,Above Moderate
11,WS012,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Not Applicable,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Not Applicable,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,lunch,0,0,0,0,0,1,0,98118,Low
12,WS013,West Seattle,01/01/2018,03/31/2018,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,It has helped to begin to enjoy life everyday and to plan for a great future,,0,0,0,0,1,0,0,98188,Above Moderate
13,WS014,West Seattle,01/01/2018,03/31/2018,Sometimes,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,"Avoid depression, feel good","Recreation, socialization, social services, meals",0,0,0,0,1,0,0,98118,Low
