RespondentID,SiteID,StartDate,EndDate,1) Do more volunteer work,2) See friends more often/make new friends,3) Take better care of my health,4) Eat meals that are better for me,5) Have more energy,6) Feel happier or more satisfied with my life,7) Have something to look forward to each day,8) Know where to ask if I need a serv,9) Feel more able to stay independent,10) Feel that the senior center has,11) Learn new things,12) Have learned about services and benefits,13) Am more physically active,14) Would recommend the s,15) Please tell us how part,16) I participate in the followin,17a) American Indian or Alaska Native,"17b) Asian, Asian-American","17c) Black, African-American, Other African",17d) Hawaiian Native or Pacific Islander,"17e) Hispanic, Latino",17f) White or Caucasian,17g) Other,18) Zip Code,19) Annual Income
WS203,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Not Applicable,,Not Applicable,Sometimes,Sometimes,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,"Made new friends, trying new stuff (art)","Bridge for fun, mixed media, rainbow bingo",0,0,0,0,0,1,0,98146,Moderate
WS204,West Seattle,09/01/2018,12/31/2018,Almost Never,Sometimes,Sometimes,Almost Never,Sometimes,Sometimes,Sometimes,Not Applicable,Not Applicable,Sometimes,Most of the time,Sometimes,Sometimes,Most of the time,Opportunity to take art classes,,0,0,0,0,0,1,0,98126,Above Moderate
WS209,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,,Most of the time,Most of the time,Most of the time,,Most of the time,Sometimes,It helps me to stay more active and connected to people,,0,0,1,0,0,0,0,98116,Very Low
WS210,West Seattle,09/01/2018,12/31/2018,,Sometimes,Most of the time,Almost Never,Almost Never,Sometimes,Not Applicable,Sometimes,Most of the time,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time,,ukulele,0,0,0,0,0,1,0,98116,Moderate
WS211,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,too many to count!,"ukes, art club, maybe Spanish class",0,0,0,0,0,1,0,98116,Above Moderate
WS212,West Seattle,09/01/2018,12/31/2018,Not Applicable,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Have more music in my life,"dancing, uke group, eat lunch",0,0,0,0,0,1,0,98116,Above Moderate
WS213,West Seattle,09/01/2018,12/31/2018,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,,Most of the time,,ukulele class,0,0,1,0,0,0,0,98058,Very Low
WS215,West Seattle,09/01/2018,12/31/2018,Most of the time,Sometimes,Most of the time,Almost Never,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Sometimes,Sometimes,Most of the time,"connectd to more people, feel more social, and the doctors say that is good for us.","ukulele, sing along, drum circle, bingo",0,0,0,0,0,1,0,98116,Above Moderate
WS216,West Seattle,09/01/2018,12/31/2018,,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,ukulele group has really encouraged me to learn how to play,uke group on Mondays,0,0,0,0,0,1,0,98168,Low
WS217,West Seattle,09/01/2018,12/31/2018,Almost Never,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Not Applicable,Not Applicable,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,It's a great place to meet new people to play ukulele with,ukes on Monday,0,0,0,0,0,1,0,98166,Above Moderate
