SurveyYear,SurveyPeriod,SiteName,StartDate,EndDate,Race,EstimatedAnnualIncome,ZipCode,SurveyResponseID,Q1 - DoMoreVolunteerWork,Q2 - SeeFriendsMore,Q3 - TakeCareOfHealth,Q4 - EatBetterMeals,Q5 - HaveMoreEnergy,Q6 - FeelHappier,Q7 - SomethingToLookForwardTo,Q8 - KnowWhereToAsk,Q9 - FeelIndependent,Q10 - FeelSeniorCenterPositiveEffect,Q11 - LearnNewThings,Q12 - LearnedAboutServices,Q13 - MoreActive,Q14 - WouldRecommendSeniorCenter,Open1 - HowSeniorCenterChangedLife,Open2 - ParticipateInTheseActivities
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98105,1,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,NULL
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98103,2,Not Applicable,Not Applicable,Most of the Time,Not Applicable,Most of the Time,Most of the Time,Not Applicable,Not Applicable,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Not Specified,Most of the Time,NULL,Enhanced fitness
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Moderate: Less than $44,750 for 1 person; or $51,150 for 2 people",98115,3,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,Exercise
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Very Low:  Less than $18,550 for 1 person; or $21,200 for 2 people",98103,4,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Made an emense difference- see above. I love the center mightily.,"Do emails, eat lunches, get assistance with Medicare signups, take AARP classes, eat pancake breakfast, volunteer a lot."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,"Asian, Asian-American ","Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98105,5,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,NULL,"Mahjong, aerobics"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98103,6,Almost Never,Sometimes,Most of the Time,Almost Never,Most of the Time,Sometimes,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Finally doing an exercise class.,"Exercise class, knitting, chat"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98107,7,Almost Never,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Sometimes,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,I belong to a group,"Enhanced fitness, Mahjong"
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Low:  Less than $30,900 for 1 person; or $35,300 for 2 people",98103,8,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Sometimes,Most of the Time,Sometimes,Sometimes,Sometimes,Most of the Time,Most of the Time,Sometimes,Most of the Time,Most of the Time,NULL,Exercise
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98119,9,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"Exercise class improved balance, use of computer is alternative to library, assistance with computer, chance to learn new skills","Exercise, lunch, computer use and tutoring, cooking class focused on maintaining health."
2015,1,Wallingford Senior Center,00:00.0,00:00.0,White or Caucasian ,"Above Moderate:  More than $44,750 for 1 person; or $51,150 for 2 people",98119,10,Sometimes,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Almost Never,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,Most of the Time,"Exercise class improved balance, use of computer is alternative to library, assistance with computer, chance to learn new skills","Exercise, lunch, computer use and tutoring, cooking class focused on maintaining health."
